NoPADlog2,NoPADlog4,PADlog2,PADlog4
3.6089918887,,2.7830194673,3.7685344732
,3.839590867,3.4155084555,3.6334782379
1.6217626777,3.0234925319,4.038514302,2.6723365383
4.4714118882,3.2930274573,,
4.4393778195,3.7196509984,,
3.9037120459,3.8041492857,,
2.4650909625,2.6823490425,3.9105743182,3.313828587
2.8501837756,3.2372925443,,
3.1574793879,3.1478105008,4.000012028,
3.7538847588,3.5138502145,,
5.0290735776,4.9344996304,3.919212732,3.5963894654
4.4101631753,3.901322599,3.3138352854,3.1327544907
3.3347175111,2.9001292149,4.5236897254,
3.3906362753,,3.98608932,3.829642998
4.3730350075,3.8199172894,4.4998294043,3.8645684765
4.6310719003,,4.5046717468,3.5633059129
4.1280411332,2.2274123444,4.8998427534,
3.4298589175,,3.7913809883,
,,3.1349203263,3.125279072
,,3.2992184154,2.3775857669
,,3.5692247334,
,,,
,,3.9258545614,0.9482712631
,,3.6048983791,2.1556869886
,,3.3317646792,1.3183388042
,,3.8703449426,3.6139758844
,,3.8818054731,
